Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation Type,Property Type,Latitude,Longitude,Price
1456,182,4,4,2,4,1,0,1,0,Moema/São Paulo,sale,apartment,-23.603929,-46.66797,3000000
260,41,2,2,1,1,1,0,1,0,Itaquera/São Paulo,sale,apartment,-23.534905,-46.451723,169900
356,50,2,2,1,1,0,0,0,0,Campo Grande/São Paulo,sale,apartment,-23.690908,-46.674401,230000
0,70,2,2,1,1,1,0,0,0,Santo Amaro/São Paulo,rent,apartment,-23.656532,-46.708397,1900
0,66,2,2,1,1,1,1,1,0,Socorro/São Paulo,sale,apartment,-23.672974,-46.715288,530000
1034,93,3,3,1,2,0,1,1,0,Vila Olimpia/São Paulo,rent,apartment,-23.59323,-46.685277,7500
280,53,2,2,1,1,0,0,0,0,São Mateus/São Paulo,sale,apartment,-23.613223,-46.469001,190000
515,63,2,2,1,1,0,0,0,0,Cambuci/São Paulo,sale,apartment,-23.559267,-46.61824,330000
1500,122,3,4,3,3,1,1,1,0,Tucuruvi/São Paulo,sale,apartment,-23.482592,-46.612588,939000
450,53,2,2,1,1,0,0,1,0,Penha/São Paulo,rent,apartment,-23.532366,-46.5494318,1600
420,58,2,2,1,1,0,0,1,0,Pari/São Paulo,rent,apartment,-23.519652,-46.601712,1700
440,52,1,2,1,1,1,0,1,0,Brooklin/São Paulo,rent,apartment,-23.61164,-46.692687,3200
0,55,2,1,0,0,0,0,0,0,Mooca/São Paulo,rent,apartment,-23.5564988,-46.6175998,1200
868,60,2,2,1,2,1,0,1,0,Medeiros/São Paulo,rent,apartment,-23.600303,-46.729936,1600
588,84,3,2,1,2,1,0,1,0,Vila Andrade/São Paulo,sale,apartment,-23.641371,-46.7358,583800
618,40,1,1,0,1,0,0,1,0,Vila Mariana/São Paulo,rent,apartment,-23.602774,-46.6380713,2300
0,103,4,4,2,2,1,0,1,0,Barra Funda/São Paulo,sale,apartment,-23.515459,-46.686931,759000
0,123,3,2,1,2,0,0,1,0,Mandaqui/São Paulo,sale,apartment,-23.4784191,-46.6375521,990000
0,39,2,1,0,0,0,0,0,0,Cidade Líder/São Paulo,sale,apartment,-23.5640889,-46.4773925,111181
865,91,3,4,1,2,1,0,1,0,Vila Mariana/São Paulo,sale,apartment,-23.60173,-46.629348,840000
1000,114,3,2,1,2,0,0,1,0,Jabaquara/São Paulo,rent,apartment,-23.6497398,-46.6498291,2800
220,53,2,1,0,1,0,0,0,0,Guaianazes/São Paulo,sale,apartment,0.0,0.0,145000
1700,107,3,2,1,2,1,0,1,0,Alto de Pinheiros/São Paulo,sale,apartment,-23.5379196,-46.7179128,850000
1837,200,3,2,1,1,0,0,0,0,Bom Retiro/São Paulo,sale,apartment,-23.5285179,-46.6321348,945000
350,50,2,1,0,1,0,0,1,0,Penha/São Paulo,sale,apartment,-23.5235847,-46.5296148,330000
1050,90,3,1,0,2,0,0,0,0,Santana/São Paulo,sale,apartment,-23.4861872,-46.627722,409000
2200,200,3,4,3,3,1,1,1,0,Campo Belo/São Paulo,rent,apartment,-23.621499,-46.676747,18000
590,52,2,1,0,1,0,0,0,0,Penha/São Paulo,rent,apartment,-23.5378061,-46.5421562,1800
2500,170,3,3,1,2,1,0,1,0,Alto de Pinheiros/São Paulo,rent,apartment,-23.541828,-46.718899,5500
0,193,3,4,1,2,0,0,0,0,Santo Amaro/São Paulo,rent,apartment,-23.638552,-46.699918,5000
2700,161,3,4,3,3,1,1,1,0,Vila Mariana/São Paulo,rent,apartment,-23.58273,-46.647362,12000
520,75,3,2,1,2,1,0,1,0,Freguesia do Ó/São Paulo,sale,apartment,-23.505254,-46.699886,448500
165,47,2,2,1,1,0,0,0,0,Grajaú/São Paulo,sale,apartment,-23.754838,-46.680505,190000
980,112,2,2,1,3,0,1,1,0,Água Rasa/São Paulo,rent,apartment,-23.560012,-46.5689728,4500
0,40,1,1,0,0,0,0,0,0,Vila Maria/São Paulo,rent,apartment,-23.5096768,-46.5749522,1100
659,60,3,2,1,1,1,0,1,0,Limão/São Paulo,sale,apartment,-23.505244,-46.670872,430000
500,80,2,1,0,1,1,0,0,0,Mandaqui/São Paulo,rent,apartment,-23.4824487,-46.6231022,1200
610,65,2,2,0,1,0,0,1,0,Butantã/São Paulo,rent,apartment,-23.5749238,-46.7333301,2000
1100,100,3,3,1,3,0,0,1,0,Freguesia do Ó/São Paulo,rent,apartment,-23.4905169,-46.6951917,2400
398,51,2,1,0,1,0,0,1,0,Barra Funda/São Paulo,sale,apartment,-23.515565,-46.6871373,371000
0,65,3,2,1,1,0,0,1,0,Mooca/São Paulo,rent,apartment,-23.5512519,-46.6037911,2500
1500,198,3,2,1,3,0,0,1,0,Carrão/São Paulo,rent,apartment,-23.551712,-46.545053,3000
381,42,1,1,0,1,0,0,0,0,Sé/São Paulo,sale,apartment,-23.550852,-46.6292247,160000
273,31,1,1,0,1,0,0,1,0,Brás/São Paulo,rent,apartment,-23.5453953,-46.6167926,1500
270,72,1,2,1,1,0,0,0,0,Jaraguá/São Paulo,rent,apartment,-23.525509,-46.646912,1200
0,97,2,2,1,1,0,1,0,0,Saúde/São Paulo,rent,apartment,-23.614668,-46.63855,3000
360,65,2,2,1,1,1,0,0,0,Jabaquara/São Paulo,rent,apartment,-23.655713,-46.636329,1250
2700,253,4,5,4,4,1,1,1,0,Alto de Pinheiros/São Paulo,sale,apartment,-23.5629597,-46.698235,5500000
450,61,3,2,1,1,1,0,1,0,Jardim Ângela/São Paulo,rent,apartment,-23.604294,-46.518325,1200
550,78,2,1,0,1,0,0,0,0,Jaçanã/São Paulo,sale,apartment,0.0,0.0,260000
320,54,2,1,0,1,0,1,0,0,Socorro/São Paulo,rent,apartment,0.0,0.0,1700
330,40,1,1,0,1,0,0,0,0,Brás/São Paulo,sale,apartment,0.0,0.0,240000
350,44,1,2,1,0,0,0,1,0,Consolação/São Paulo,sale,apartment,0.0,0.0,294850
400,51,2,2,1,1,0,0,0,0,Tremembé/São Paulo,sale,apartment,-23.420073,-46.58062,235000
0,72,2,2,1,1,0,0,0,0,Mandaqui/São Paulo,sale,apartment,-23.4732332,-46.6312492,425000
875,201,3,2,1,1,0,0,0,0,Bom Retiro/São Paulo,rent,apartment,-23.5285179,-46.6321348,2500
470,88,2,2,0,1,0,0,0,0,Vila Curuçá/São Paulo,sale,apartment,-23.5047912,-46.4276069,267000
493,100,2,2,1,1,0,0,0,0,Vila Curuçá/São Paulo,rent,apartment,-23.553303,-46.635769,2000
520,57,3,1,0,1,0,0,0,0,Guaianazes/São Paulo,sale,apartment,-23.5479242,-46.4120411,200000
3,52,2,2,1,1,0,0,0,0,Cangaíba/São Paulo,sale,apartment,-23.497409,-46.507369,220000
500,61,3,2,1,1,1,0,1,0,Pari/São Paulo,sale,apartment,-23.52472,-46.603524,450000
500,60,2,2,1,1,0,0,0,0,Sacomã/São Paulo,rent,apartment,-23.613147,-46.597245,1200
485,48,1,1,0,1,1,1,1,0,República/São Paulo,rent,apartment,-23.5408409,-46.6431999,2500
520,55,2,2,1,1,1,0,1,0,Ermelino Matarazzo/São Paulo,rent,apartment,-23.50547,-46.470505,800
120,45,1,2,1,1,0,0,0,0,Liberdade/São Paulo,rent,apartment,-23.556736,-46.634143,1300
380,55,2,2,1,1,1,0,1,0,Brás/São Paulo,sale,apartment,-23.535721,-46.595133,322000
0,146,4,3,2,2,0,0,1,0,Ipiranga/São Paulo,rent,apartment,-23.5843276978,-46.6026000977,4600
2833,184,3,4,3,4,1,0,1,0,Vila Andrade/São Paulo,rent,apartment,-23.630961,-46.7331427,5500
1500,98,2,3,2,2,0,1,1,0,Itaim Bibi/São Paulo,rent,apartment,-23.5849423,-46.6785498,8300
650,68,2,1,0,1,1,0,1,0,Mooca/São Paulo,sale,apartment,-23.5603265,-46.5995903,340000
1100,97,3,2,1,2,0,1,0,0,Moema/São Paulo,rent,apartment,-23.6051569,-46.6661697,6000
2150,165,4,4,3,3,0,0,1,0,Campo Belo/São Paulo,sale,apartment,-23.6278505,-46.6704275,1250000
425,48,2,1,0,1,1,0,0,0,Santa Cecília/São Paulo,sale,apartment,0.0,0.0,600000
350,50,2,2,1,1,1,1,1,0,Vila Guilherme/São Paulo,sale,apartment,-23.51871,-46.603784,280000
1000,70,2,2,1,2,1,0,1,0,Campo Belo/São Paulo,rent,apartment,-23.6247001,-46.6670888,4400
1700,130,3,4,3,3,0,0,1,0,Morumbi/São Paulo,rent,apartment,-23.6134355,-46.7316628,2500
0,64,2,2,1,1,1,0,1,0,Santana/São Paulo,sale,apartment,-23.480764,-46.631277,455758
350,63,2,1,0,1,0,0,0,0,Vila Guilherme/São Paulo,rent,apartment,-23.5100758,-46.6011967,1500
530,59,3,2,1,1,0,0,0,0,Belém/São Paulo,sale,apartment,-23.544698,-46.6021147,446000
1000,110,3,2,1,1,0,1,0,0,Itaim Bibi/São Paulo,rent,apartment,-23.5951043,-46.6769236,6800
1100,100,3,2,1,1,0,0,0,0,Jardim Paulista/São Paulo,sale,apartment,0.0,0.0,1255000
1700,165,4,3,2,4,0,0,1,0,Moema/São Paulo,sale,apartment,-23.5997697,-46.6658232,2590000
639,72,3,2,1,1,0,0,1,0,Brás/São Paulo,rent,apartment,-23.5453953,-46.6167926,2200
150,52,2,2,1,1,0,0,0,0,Artur Alvim/São Paulo,sale,apartment,-23.54308,-46.480723,215000
440,54,2,1,0,1,0,0,0,0,Cidade Ademar/São Paulo,sale,apartment,-23.6661671,-46.6600748,249000
0,56,2,2,1,1,0,0,0,0,Raposo Tavares/São Paulo,rent,apartment,-23.588091,-46.797839,1300
1300,64,1,2,1,1,0,1,1,0,Itaim Bibi/São Paulo,rent,apartment,-23.594816,-46.689243,5350
580,76,2,2,1,2,1,0,1,0,Vila Sônia/São Paulo,sale,apartment,-23.598366,-46.740048,595000
500,80,2,1,0,1,1,0,0,0,Mandaqui/São Paulo,rent,apartment,-23.4824487,-46.6231022,1200
465,55,2,2,1,1,1,0,0,0,Rio Pequeno/São Paulo,rent,apartment,-23.559315,-46.748244,1400
450,60,2,2,1,1,0,0,0,0,Santa Cecília/São Paulo,sale,apartment,-23.533369,-46.647332,400000
638,79,3,2,1,2,1,0,1,0,Cambuci/São Paulo,sale,apartment,-23.57641,-46.625381,694000
200,38,2,1,0,0,0,0,1,0,Brás/São Paulo,sale,apartment,0.0,0.0,203780
690,85,2,1,0,1,0,1,0,0,Consolação/São Paulo,sale,apartment,-23.5512139,-46.6502107,620000
1000,183,4,3,2,4,0,0,1,0,Moema/São Paulo,sale,apartment,-23.6044021,-46.6681293,3022000
750,48,1,1,0,1,0,1,1,0,Bela Vista/São Paulo,rent,apartment,-23.5533992,-46.6577554,3100
540,60,2,2,1,1,0,0,0,0,Campo Grande/São Paulo,sale,apartment,-23.670571,-46.686337,280000
799,70,2,1,0,1,0,0,0,0,Bom Retiro/São Paulo,rent,apartment,-23.5245475,-46.6399594,1500
500,54,2,1,0,1,0,0,0,0,Vila Prudente/São Paulo,sale,apartment,-23.5935956,-46.5799909,330000
708,102,3,4,2,2,1,0,1,0,Jaguaré/São Paulo,rent,apartment,-23.551904,-46.749714,2800
120,48,2,2,1,1,0,0,0,0,José Bonifácio/São Paulo,rent,apartment,-23.552508,-46.440376,880
195,42,1,2,1,1,0,0,0,0,Lajeado/São Paulo,sale,apartment,-23.533705,-46.405574,130000
593,68,3,2,1,1,0,0,1,0,Vila Leopoldina/São Paulo,rent,apartment,-23.5337176,-46.7279428,2550
568,53,2,1,0,0,0,0,0,0,República/São Paulo,sale,apartment,-23.5459454,-46.6466066,300000
0,38,1,2,1,1,1,0,1,0,Belém/São Paulo,sale,apartment,-23.535721,-46.595133,235000
235,45,2,2,1,1,1,0,1,1,Freguesia do Ó/São Paulo,sale,apartment,-23.486066,-46.691199,250000
0,40,1,1,0,1,0,0,1,0,Vila Matilde/São Paulo,sale,apartment,0.0,0.0,249000
850,103,3,3,1,1,1,0,0,0,Vila Leopoldina/São Paulo,rent,apartment,-23.530817,-46.729229,2600
0,50,2,1,0,1,0,0,0,0,Itaquera/São Paulo,rent,apartment,-23.5522179,-46.459416,1200
200,48,2,1,0,1,0,0,0,0,Artur Alvim/São Paulo,sale,apartment,-23.5487514,-46.4771951,215000
290,42,2,1,0,1,0,0,0,0,Guaianazes/São Paulo,sale,apartment,-23.5282636,-46.397092,197000
805,101,3,2,1,2,0,0,0,0,Ipiranga/São Paulo,rent,apartment,-23.5795406,-46.6019011,2550
0,37,2,2,1,1,0,0,0,0,Perus/São Paulo,sale,apartment,-23.406884,-46.737037,199000
263,32,1,1,0,1,1,0,1,0,Belém/São Paulo,rent,apartment,-23.5356022,-46.5996838,1250
900,57,1,1,0,1,0,0,1,0,Pinheiros/São Paulo,sale,apartment,-23.5594143,-46.6824274,450000
550,69,2,2,1,2,1,0,1,1,Mooca/São Paulo,sale,apartment,-23.559428,-46.60377,441000
1600,160,3,4,3,3,0,0,1,0,Moema/São Paulo,rent,apartment,-23.6066174,-46.6572794,8000
0,110,2,2,1,1,1,0,1,0,Tucuruvi/São Paulo,rent,apartment,-23.488116,-46.6234,2700
0,45,2,1,0,1,0,1,0,0,Penha/São Paulo,rent,apartment,-23.51206,-46.5225977,1500
652,81,2,1,0,1,1,0,0,0,Mooca/São Paulo,rent,apartment,-23.5603149,-46.5940727,1350
750,75,3,2,1,1,1,0,1,0,Anhanguera/São Paulo,sale,apartment,-23.660846,-46.686396,450000
402,66,3,1,0,1,1,0,0,0,Alto de Pinheiros/São Paulo,rent,apartment,-23.5423554,-46.716605,1800
594,69,3,2,1,1,0,0,1,0,Cidade Ademar/São Paulo,rent,apartment,-23.665879,-46.675475,2000
550,80,3,3,1,2,1,1,1,0,Vila Maria/São Paulo,sale,apartment,-23.517426,-46.589986,648000
1580,178,3,4,3,3,0,0,1,0,Brooklin/São Paulo,sale,apartment,0.0,0.0,2150000
492,58,2,1,0,1,1,0,0,0,Limão/São Paulo,rent,apartment,-23.4987696,-46.6752959,1200
100,57,2,1,0,1,0,0,0,0,Artur Alvim/São Paulo,sale,apartment,0.0,0.0,200000
5250,330,4,6,4,4,0,1,1,0,Santa Cecília/São Paulo,rent,apartment,-23.537714,-46.656151,6000
800,100,3,2,1,1,0,0,0,0,Liberdade/São Paulo,sale,apartment,-23.5615968,-46.6329647,690000
1300,120,3,2,1,2,0,0,1,0,Alto de Pinheiros/São Paulo,rent,apartment,-23.5372206,-46.7156987,3000
503,64,3,1,0,1,0,1,0,0,Campo Grande/São Paulo,rent,apartment,-23.6584819,-46.6904011,2000
3000,278,4,3,2,3,1,1,0,0,Campo Belo/São Paulo,rent,apartment,-23.6275815,-46.6717583,18000
1400,142,3,2,1,2,0,0,1,0,Perdizes/São Paulo,rent,apartment,-23.5320919,-46.6788337,4000
300,68,2,2,1,1,1,0,0,0,Ponte Rasa/São Paulo,sale,apartment,-23.509327,-46.48228,210000
277,48,2,2,1,1,1,0,1,0,Cachoeirinha/São Paulo,rent,apartment,-23.466095,-46.658379,1000
420,60,2,1,0,1,0,0,0,0,Butantã/São Paulo,rent,apartment,0.0,0.0,1050
430,53,2,2,1,1,0,0,1,0,Casa Verde/São Paulo,sale,apartment,-23.510311,-46.6565652,409869
699,45,1,1,0,1,0,1,0,0,Liberdade/São Paulo,rent,apartment,-23.5634517,-46.6324959,1400
0,55,2,2,1,1,1,0,0,0,Socorro/São Paulo,rent,apartment,-23.672428,-46.713773,1700
585,85,2,2,1,1,0,0,1,0,Jabaquara/São Paulo,rent,apartment,-34.6251236,-58.3643522,3000
0,103,3,3,2,2,0,0,1,0,Água Rasa/São Paulo,sale,apartment,-23.576864,-46.565451,520000
1051,62,1,2,1,2,0,1,1,0,Pinheiros/São Paulo,rent,apartment,-23.559227,-46.674205,4500
250,61,2,1,0,0,0,0,0,0,Penha/São Paulo,rent,apartment,-23.5199266,-46.5420364,1200
526,51,2,2,1,1,0,0,1,0,Campo Limpo/São Paulo,sale,apartment,-23.645405,-46.758389,340000
1106,158,3,4,3,2,1,0,1,0,Vila Leopoldina/São Paulo,rent,apartment,-23.532652,-46.731638,6300
450,60,2,1,0,1,0,0,1,0,Casa Verde/São Paulo,sale,apartment,-23.4937514,-46.6681499,350000
550,64,2,2,1,1,0,0,1,0,Casa Verde/São Paulo,sale,apartment,-23.514394,-46.6570884,565000
459,57,2,1,0,1,0,0,1,0,Vila Curuçá/São Paulo,sale,apartment,-23.5053076,-46.4235888,294000
0,70,2,2,0,1,0,0,0,0,Brooklin/São Paulo,sale,apartment,-23.6168081,-46.6793209,580000
2500,161,4,5,3,4,1,0,1,0,Moema/São Paulo,sale,apartment,-23.600428,-46.670837,2200000
2100,151,3,4,3,3,0,0,1,0,Jardim Paulista/São Paulo,rent,apartment,0.0,0.0,6800
650,77,2,2,1,2,0,0,0,0,Butantã/São Paulo,rent,apartment,-23.5851635,-46.7414046,1950
895,55,2,1,0,1,1,0,0,0,Santa Cecília/São Paulo,sale,apartment,-23.5357994,-46.6556046,570000
800,56,2,2,1,1,1,0,1,0,Vila Mariana/São Paulo,rent,apartment,-23.585145,-46.632005,2500
1800,189,4,5,4,4,1,1,1,0,Santo Amaro/São Paulo,sale,apartment,-23.626839,-46.696166,1849430
0,43,2,2,1,1,0,0,0,0,Perus/São Paulo,sale,apartment,-23.406884,-46.737037,239000
500,48,2,1,0,1,0,0,1,0,Bela Vista/São Paulo,sale,apartment,-26.9225117,-49.0607072,459000
0,53,2,2,1,1,1,0,1,0,Lapa/São Paulo,rent,apartment,-23.518409,-46.729321,2700
1600,96,2,3,2,2,0,1,1,0,Itaim Bibi/São Paulo,rent,apartment,-23.5848668,-46.6787417,7500
0,70,3,2,1,1,0,0,0,0,Cidade Líder/São Paulo,rent,apartment,-23.5521624,-46.4760993,1300
1400,99,2,2,1,2,0,1,0,0,Brooklin/São Paulo,sale,apartment,-23.6068912,-46.6959343,1600000
1015,90,3,2,1,1,0,0,0,0,Moema/São Paulo,sale,apartment,-23.604856,-46.6573901,829000
700,42,1,1,0,1,0,0,0,0,Jabaquara/São Paulo,rent,apartment,-23.6434062,-46.6431702,1200
750,65,2,2,1,2,0,1,1,0,Saúde/São Paulo,rent,apartment,-23.620855,-46.617002,2100
480,76,3,2,1,1,0,0,0,0,Alto de Pinheiros/São Paulo,rent,apartment,-23.5423554,-46.716605,2500
870,120,2,1,0,1,0,0,0,0,República/São Paulo,rent,apartment,-23.5467608,-46.6465951,2800
623,67,2,2,1,2,0,0,1,0,Saúde/São Paulo,rent,apartment,-23.6039347,-46.6209858,2850
434,62,3,2,1,1,1,1,1,0,Rio Pequeno/São Paulo,rent,apartment,-23.569955,-46.74727,2300
388,67,1,2,1,1,1,0,0,0,Brás/São Paulo,rent,apartment,-23.530025,-46.600427,900
871,65,2,2,1,2,1,1,1,0,Vila Olimpia/São Paulo,rent,apartment,-23.59338,-46.687878,5500
890,95,3,2,1,2,0,1,0,0,Tucuruvi/São Paulo,rent,apartment,-23.4891202,-46.6239076,1600
780,71,3,2,1,1,0,0,1,0,Barra Funda/São Paulo,rent,apartment,-23.5298264,-46.6568902,2900
0,37,1,1,0,1,0,0,1,0,São Mateus/São Paulo,sale,apartment,-23.6112196,-46.4595723,179000
250,54,2,1,0,1,0,0,0,0,Ponte Rasa/São Paulo,sale,apartment,-23.5154303,-46.4873764,240000
500,65,2,2,1,1,0,0,1,0,Tatuapé/São Paulo,rent,apartment,-23.527977,-46.558513,1450
150,57,3,2,1,2,0,0,0,0,Artur Alvim/São Paulo,rent,apartment,-23.545155,-46.484171,1150
50,46,2,2,1,1,0,0,0,0,Cidade Tiradentes/São Paulo,rent,apartment,-23.590671,-46.396841,800
485,65,2,2,1,1,1,0,1,0,Jaçanã/São Paulo,rent,apartment,-23.462729,-46.586235,1700
453,42,1,1,0,1,0,1,1,0,Bela Vista/São Paulo,rent,apartment,-23.5541191,-46.6501877,2600
545,43,1,2,1,1,0,0,1,0,Brooklin/São Paulo,rent,apartment,0.0,0.0,4695
1300,135,3,3,2,3,0,0,0,0,Rio Pequeno/São Paulo,sale,apartment,-23.561699,-46.757,930000
380,54,2,1,0,1,0,1,0,0,Brás/São Paulo,rent,apartment,-23.5369443,-46.594066,1900
100,45,2,2,1,1,0,0,0,0,Jaçanã/São Paulo,sale,apartment,-23.462734,-46.575959,220000
751,55,1,1,0,1,0,0,0,0,Moema/São Paulo,sale,apartment,-23.612408,-46.6624851,460000
300,49,2,2,1,1,1,0,1,0,Parque do Carmo/São Paulo,sale,apartment,-23.598887,-46.463606,239000
744,65,2,1,0,1,0,0,0,0,Santana/São Paulo,rent,apartment,-23.4945411,-46.6277142,1756
450,63,2,2,1,2,0,1,0,0,Pirituba/São Paulo,rent,apartment,-23.499025,-46.725158,2000
500,45,1,2,1,1,0,1,1,0,Campo Belo/São Paulo,rent,apartment,-23.6120443,-46.677704,3800
150,80,2,2,1,1,1,0,0,0,Belém/São Paulo,rent,apartment,-23.53962,-46.596337,1600
542,65,3,2,1,1,0,0,1,0,Sapopemba/São Paulo,rent,apartment,-23.585253,-46.533766,1300
1200,125,3,2,1,2,1,0,1,0,Vila Leopoldina/São Paulo,sale,apartment,-23.532987,-46.731198,1180000
490,35,1,1,0,1,0,0,0,0,Santo Amaro/São Paulo,rent,apartment,-23.6292793,-46.6876942,1900
